"ID","IDmuni","Npar2","Npar3","Npar4","Narb2","Narb3","Narb4","NparC","NarbC"
"1",34004,20,30,27,386,822,734,11,138
"2",34005,3,6,4,22,110,101,1,8
"3",34020,7,7,3,217,308,126,4,38
"4",34025,2,2,1,17,36,17,NA,NA
"5",34027,3,6,4,38,70,169,1,13
"6",34037,30,32,19,582,864,599,12,131
"7",34041,3,3,2,108,118,78,1,19
"8",34049,6,17,11,240,371,414,2,37
"9",34056,30,49,43,601,1207,1386,17,221
"10",34061,3,2,2,65,73,37,2,20
"11",34062,16,21,7,361,576,259,6,66
"12",34067,3,7,7,27,119,140,2,2
"13",34068,2,2,3,76,102,72,1,11
"14",34071,3,4,3,104,125,57,2,14
"15",34073,11,11,6,332,459,219,6,68
"16",34080,2,6,6,24,204,191,NA,NA
"17",34083,2,6,3,44,49,42,NA,NA
"18",34091,5,7,5,27,94,141,2,7
"19",34093,1,2,1,33,34,8,NA,NA
"20",34094,6,7,3,73,158,100,2,20
"21",34100,5,6,3,172,236,144,2,35
"22",34107,1,3,2,41,57,12,NA,NA
"23",34114,5,10,5,67,204,167,1,16
"24",34122,4,4,2,129,179,73,2,40
"25",34124,1,1,1,1,1,13,NA,NA
"26",34129,14,15,8,389,568,258,5,62
"27",34135,2,5,2,14,103,109,1,4
"28",34139,3,2,2,79,97,108,1,30
"29",34140,4,4,3,37,111,90,3,22
"30",34151,10,14,10,176,340,287,5,56
"31",34154,1,3,3,40,43,12,NA,NA
"32",34157,13,18,10,213,424,312,3,24
"33",34169,9,13,5,117,380,179,1,11
"34",34171,11,19,12,185,421,428,6,76
"35",34176,2,2,1,49,49,32,NA,NA
"36",34179,3,3,4,46,94,88,NA,NA
"37",34190,2,2,3,3,10,31,1,2
"38",34199,24,34,28,548,838,775,7,130
"39",34208,8,7,2,179,204,63,1,23
"40",34214,7,8,3,260,366,126,1,26
"41",34222,4,7,6,104,125,157,2,16
"42",34228,10,7,5,165,172,132,3,26
"43",34229,1,2,1,2,2,1,NA,NA
"44",34231,4,4,3,60,73,53,NA,NA
"45",34234,11,12,8,96,304,287,3,38
"46",34245,27,26,16,412,863,623,8,54
"47",34901,3,4,2,64,105,81,NA,NA
"48",34903,4,6,5,25,128,149,2,10
