"LabelEN", "LabelES", "AbbreviationEN", "AbbreviationES", "Units","DescriptionEN","DescriptionES"
"Situation", "Situación","", "","","Spatial and administrative context of the plot, including territorial boundaries and legal status","Contexto espacial y administrativo de la parcela, incluyendo límites territoriales y situación legal"
"County", "Comarca","","","","County where the plot is located","Comarca donde se localiza la parcela"
"Municipality","Municipio","","","","Municipality where the plot is located","Municipio donde se localiza la parcela"
"Public Utility Forest","Montes de Utilidad Pública","","MUP","","Public forests officially declared as of public utility in Spain","Montes declarados de Utilidad Pública en España por su interés general"
"Ownership", "Propiedad","","","","Type of land ownership (public, private, municipal, etc.)","Tipo de propiedad del monte (público, privado, municipal, etc.)"
"Boundary markers", "Amojonado", "","","","Presence of physical boundary markers delimiting the forest plot","Presencia de mojones u otros elementos físicos de delimitación del monte"
"Legally demarcated", "Deslindado","","","","Whether the forest boundary has been legally demarcated or delimited","Indica si el monte ha sido deslindado o delimitado legalmente"
"Protected area", "Espacio protegido","","","","Protected designation under Spanish Law 42/2007 (parks, reserves, natural monuments, protected landscapes)","Figura de protección según la Ley 42/2007 (parques, reservas, monumentos naturales, paisajes protegidos)"
"Altitude", "Altitud","","","m","Elevation above sea level derived from a digital elevation model (DEM)","Altitud sobre el nivel del mar obtenida a partir de un modelo digital del terreno (MDT)"
"Main slope", "Pendiente principal","","","°","Maximum slope of the plot","Pendiente máxima de la parcela"
"Aspect of main slope", "Orientación de la pendiente principal","","","°","Aspect (azimuth) of the steepest slope direction","Orientación (azimut) de la dirección de máxima pendiente"
"Exposure", "Exposición","","","","Topographic exposure (north-facing / south-facing conditions)","Exposición topográfica de la parcela (umbría o solana)"
"Fuel model", "Modelo de combustible","","","","Dominant wildfire fuel model according to Rothermel classification","Modelo de combustible dominante según la clasificación de Rothermel"
"Biogeographical region", "Región biogeográfica","","","","Biogeographical region according to the Spanish Forest Map (MFE)","Región biogeográfica según el Mapa Forestal Español (MFE)"
"Soil", "Suelo","","","","Soil characteristics including type, texture, stoniness, organic matter and pH","Características del suelo incluyendo tipo, textura, pedregosidad, materia orgánica y pH"
"Forest stocks","Existencias forestales","","","","Standing forest resources including trees and shrubs","Existencias forestales de la parcela incluyendo arbolado y matorral"
"Stand density","Densidad de la masa","N", "N","nº trees/ha","Number of trees per hectare","Número de árboles por hectárea"
"Basal area","Área basimétrica","G", "AB","m2/ha","Total cross-sectional area of trees at breast height per hectare","Área basimétrica total por hectárea"
"Volume over bark", "Volumen con corteza","Vol (OB)", "VCC","m3/ha","Total stem volume including bark per hectare","Volumen total con corteza por hectárea"
"Diameter class", "Clase diamétrica","DC", "CD","","Grouping of trees into 5 cm width classes based on their diameter at breast height","Agrupación de árboles en clases diamétricas de 5 cm de amplitud según su diámetro a la altura del pecho"
"Forest damage", "Daños arbolado","","","","Sanitary condition of trees in the plot","Estado fitosanitario de los árboles en la parcela"
"Wood quality", "Calidad de la madera","","","","Wood quality based on tree form, health condition and potential uses","Calidad de la madera en función de la forma del árbol, estado sanitario y usos potenciales"
"Aboveground biomass carbon","Carbon fijado por el arbolado","","","t/ha","Carbon stored in aboveground tree biomass","Carbono almacenado en la biomasa aérea del arbolado"
"Forest condition", "Estado forestal","","","","Overall structural and ecological condition of the forest stand","Estado estructural y ecológico general de la masa forestal"
"Field data collection date", "Fecha de toma de datos de campo","","","","Date of field inventory data acquisition","Fecha de toma de datos de campo del inventario"
"Tree canopy cover", "Fracción de cabida cubierta del arbolado","CCt","FCCa","%","Proportion of ground covered by tree canopy projection","Porcentaje de superficie cubierta por la proyección de copas arbóreas"
"Trees measured", "Nº de pies medidos","","","nº trees/plot","Number of trees measured within the sample plot","Número de árboles medidos en la parcela de muestreo"
"Dominant height", "Altura dominante","Ho","Ho","m","Assmann dominant height: mean height of the 100 thickest trees per hectare","Altura dominante de Assmann: media de los 100 árboles más gruesos por hectárea"
"Mean height", "Altura media","Hm", "Hm","m","Arithmetic mean height of all measured trees","Altura media aritmética de todos los árboles medidos"
"Quadratic mean diameter","Diámetro medio cuadrático","Dg","Dg","cm","Diameter corresponding to the mean basal area tree","Diámetro medio cuadrático"
"Mean diameter", "Diámetro medio","Dm","Dm","cm","Arithmetic mean diameter of all trees","Diámetro medio aritmético"
"Standing dead trees", "Árboles muertos en pie","","","nº trees/plot","Number of standing dead trees in the plot","Número de árboles muertos en pie en la parcela"
"Species composition","Composición específica","","","","Species dominance based on basal area proportion (pure ≥90%, mixed otherwise)","Composición específica según proporción de área basimétrica (masas puras ≥90%, mixtas en caso contrario)"
"Stand structure","Forma principal de la masa","","","","Stand structure classified as even-aged (<=2 DC) or uneven-aged (>2 DC) based on diameter classes","Estructura de la masa según clases diamétricas en masa regular (<= 2CD) o irregular (>2CD)"
"Shannon diversity index", "índice de diversidad de Shannon","H'","H'","","Shannon index measuring tree species diversity","Índice de diversidad de Shannon mide la diversidad específica de las especies arboreas"
"Slenderness index", "índice de esbeltez","","", "","Ratio between mean tree height and mean diameter","Relación entre altura media y diámetro medio del arbolado"
"Relative stand density index","índice de densidad relativa de Reineke","RSDI","IDR","%","Stand density relative to reference conditions","Índice de densidad relativa de la masa"
"Hart-Becking index", "Índice de Hart-Becking","S","S","","Index based on tree spacing and stand competition","Índice de competencia de Hart"
"Tree layer","Estrato arboreo","","","","Characteristics of the main 3 tree species in the plot","Características de las 3 especies principales de árboles en la parcela"
"Age","Edad","","","","Age of the main species in the plot","Edad de las especies principales de la parcela"
"Development stage", "Estado de desarrollo","","","","Stand development stages: regeneration,  thicket, polewood, old growth","Clases de desarrollo: repoblado, monte bravo, latizal o fustal"
"Origin","Origen","","","","Stand origin: natural, artificial or naturalized (seed, planting, sprouting)","Origen de la masa: natural, artificial o naturalizado (semilla, plantación, brote)"
"Regeneration density", "Densidad de regenerado","","","nº of stems","Density of natural regeneration in a 5 m subplot (<2.5 cm DBH or <1.3 m height)","Densidad de regeneración en subparcela de 5 m (<2,5 cm de diámetro o <1,3 m de altura)"
"Shrub layer", "Estrato arbustivo","","","","Characteristics of the main shrub layer in the plot","Características del estrato de matorral de la parcela"
"Shrub canopy cover", "Fracción de cabida cubierta del matorral","CCs","FCCm","%","Fraction of ground covered by shrub species in the plot","Fracción de cabida cubierta de las especies de matorral en la parcela"
"Shrub mean height","Altura media del matorral","hm","hm","m","Mean height of shrub species in the plot","Altura media de las especies de matorral en la parcela"
